,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
01-2005,1.1122,0.6921,1.1158,0.9998,1.166,0.9119,1.0242,1.0768,0.7773,1.2574,1.1163,1.0462,0.9961,1.2894,0.9769,1.3607,0.8833,1.0933,0.8111,1.0055,1.1597,1.0094,0.8219,1.0634,0.9632,0.9489,1.0997,0.935,0.9814,0.9963,1.3153,1.1043
04-2005,1.0485,0.6624,1.0869,1.0073,1.1473,0.893,1.0188,1.0402,0.8286,1.2662,1.1507,1.0622,1.0492,1.2222,1.0125,1.3162,0.903,1.195,0.8114,1.0518,1.22,1.0178,0.8343,1.0818,1.086,0.8737,1.0637,1.0308,1.0055,1.0198,1.3454,1.0684
07-2005,1.0545,0.7263,1.0555,1.0257,1.092,0.8604,1.0007,1.0523,0.824,1.2322,1.1714,1.0565,0.9715,1.2809,0.9352,1.4333,0.9105,1.1863,0.8187,1.0261,1.1896,0.9758,0.8421,1.0872,1.1212,0.9369,0.9946,0.8983,1.0186,0.9898,1.3225,1.0336
10-2005,0.9786,0.6433,0.96,0.9504,1.0417,0.8961,1.0224,1.0009,0.7136,1.146,1.0921,1.0248,0.9837,1.248,0.9221,1.2994,0.8208,1.1061,0.8557,0.991,1.142,0.881,0.8043,1.0514,0.9733,0.8803,0.9838,0.814,0.9618,0.9658,1.2879,0.974
01-2006,1.0266,0.6889,0.9557,0.9864,1.0475,0.871,0.9985,0.8381,0.7026,1.1768,1.1397,1.0057,1.017,1.0902,0.8736,1.4204,0.8118,1.0835,0.7636,1.0502,1.1758,0.931,0.7404,0.9924,0.8436,0.8083,0.9146,0.8409,0.9726,0.932,1.2797,1.0824
04-2006,0.999,0.6543,0.825,0.9307,0.9984,0.7363,1.0073,0.8063,0.7595,1.109,1.0511,1.0013,0.9735,1.1781,0.8188,1.2523,0.8105,1.0201,0.7737,0.9842,1.1381,0.8703,0.7168,0.9917,0.9223,0.7224,0.9202,0.7932,0.9586,0.9334,1.2075,0.9602
07-2006,0.9677,0.6485,0.836,0.9174,0.9948,0.8052,0.9904,0.9134,0.7744,1.1939,1.0538,1.0038,1.0141,1.2574,0.8702,1.2565,0.7385,1.0632,0.8146,0.9936,1.1047,0.8479,0.7101,1.0189,1.0033,0.9227,0.8869,0.7805,0.9934,0.9257,1.2176,0.9837
10-2006,1.0263,0.7609,0.7469,0.937,1.0105,0.847,1.0105,0.8971,0.7688,1.1373,1.0897,1.0342,1.0136,1.1494,0.9076,1.2839,0.7572,0.9966,0.758,1.0369,1.1316,0.9108,0.7744,1.0548,0.9463,0.8381,0.8781,0.8084,0.9854,0.9927,1.1722,0.9622
01-2007,1.0771,0.7088,0.8662,0.9373,1.0196,0.8948,1.0218,0.8922,0.7369,1.1664,1.1478,1.0388,1.006,1.1086,0.9462,1.2733,0.7958,1.0453,0.7926,1.0421,1.1002,0.9052,0.6866,1.0649,0.9195,0.806,0.9351,0.8853,0.9476,0.9584,1.1928,0.981
04-2007,1.0141,0.6179,0.8613,0.9083,0.957,0.8013,0.9363,0.8785,0.7232,1.1173,1.1182,1.0119,0.9465,1.0318,0.8717,1.2653,0.7526,1.0116,0.6787,0.9941,1.0822,0.865,0.6954,1.0403,0.897,0.7837,0.9065,0.7803,0.9498,0.8983,1.1503,0.9277
