,National,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
ene-05,38.1,34,14.4,18.4,41.7,29.6,24,69.6,26.4,22.6,43.5,37.1,58.9,46.5,30.8,34,43.5,41.1,34.7,16.4,59.1,49.7,35.1,22.8,46.7,24.8,25.7,45.6,30.9,45.8,49.4,45.6,52.8
abr-05,38.8,32.1,13.8,17.9,42,29.1,23.5,69.2,25.5,24.1,43.8,38.3,59.9,49,29.2,35.2,42.1,42,38,16.4,61.8,52.3,35.4,23.2,47.5,28,23.6,44.1,34.1,46.9,50.6,46.6,51.1
jul-05,38.1,32.3,15.1,17.4,42.8,27.7,22.6,68,25.8,23.9,42.6,39,59.5,45.4,30.6,32.5,45.8,42.4,37.7,16.5,60.3,51,34,23.4,47.8,28.9,25.3,41.2,29.7,47.5,49.1,45.8,49.5
nov-05,36.6,30,13.4,15.8,39.7,26.5,23.6,69.5,24.5,20.7,39.6,36.3,57.7,45.9,29.8,32.1,41.5,38.2,35.2,17.3,58.2,49,30.7,22.3,46.2,25.1,23.8,40.8,26.9,44.9,47.9,44.7,46.6
ene-06,36.1,31.4,14.3,15.7,41.2,26.6,22.9,67.8,20.5,20.4,40.7,37.9,56.7,47.5,26.1,30.4,45.4,37.8,34.4,15.4,61.7,50.4,32.4,20.6,43.6,21.8,21.9,37.9,27.8,45.4,46.2,44.4,51.8
abr-06,35,30.6,13.6,13.6,38.8,25.4,19.4,68.4,19.8,22.1,38.3,35,56.4,45.5,28.2,28.5,40,37.7,32.4,15.6,57.8,48.8,30.3,19.9,43.6,23.8,19.5,38.1,26.2,44.7,46.3,41.9,46
jul-06,35.7,29.6,13.5,13.8,38.3,25.3,21.2,67.3,22.4,22.5,41.3,35.1,56.6,47.4,30.1,30.3,40.2,34.4,33.8,16.4,58.4,47.4,29.5,19.7,44.8,25.9,25,36.8,25.8,46.3,45.9,42.2,47.1
nov-06,36.2,31.4,15.8,12.3,39.1,25.7,22.3,68.7,22,22.3,39.3,36.2,58.3,47.3,27.5,31.6,41.1,35.2,31.7,15.3,60.9,48.5,31.7,21.5,46.4,24.4,22.7,36.4,26.7,46,49.2,40.6,46
ene-07,36.4,33,14.7,14.3,39.1,25.9,23.5,69.4,21.9,21.4,40.3,38.2,58.5,47,26.5,32.9,40.7,37,33.2,16,61.2,47.2,31.5,19.1,46.8,23.7,21.8,38.8,29.3,44.2,47.5,41.4,46.9
abr-07,34.6,31,12.8,14.2,37.9,24.3,21.1,63.6,21.5,21,38.6,37.2,57,44.2,24.7,30.3,40.5,35,32.1,13.7,58.4,46.4,30.1,19.3,45.7,23.1,21.2,37.6,25.8,44.3,44.6,39.9,44.4
jul-07,35.2,29.4,13.7,10.7,38.1,25,22.1,66.3,21.2,21,39.2,36.6,57.2,48.3,26.2,31.7,40.2,35.8,33.6,14.4,58.2,45.9,31,20.4,45.5,24.2,21.8,38.7,25.9,44.6,46.5,39.9,43.3
nov-07,36.4,32.8,15.8,11.2,39.1,27.9,21.5,65.6,23.3,22.9,36.1,37.1,58,46.6,27.7,32.2,42.1,40.1,31.3,16.1,60.1,48.5,30.9,19.8,47.2,24.2,23.7,36.1,29,46.9,48.2,40.7,48
ene-08,36.6,31.3,14.7,13.3,37.3,28.2,20.6,65.9,23.1,21.9,40.2,39,56.5,47.8,26.4,34,42.4,38.8,31.5,17.6,57.9,51,32.8,18.9,45.5,23.3,25.1,36.8,25.4,49.4,46.3,40.1,53.2
abr-08,36,33.1,14,12.3,36.6,26.5,20.3,65.6,24,23.4,39,39.2,55.3,46.3,25.3,33.8,39.4,39.8,30.6,17.5,56,48.2,31.3,17.3,46.7,23.3,21.9,35.7,27.1,47.4,47.2,38.6,49.9
jul-08,37.6,34,16.2,12.6,37.1,29.1,18.8,66,25.2,24.3,38.6,41.7,56.6,49.1,29.5,34.4,42.1,40.8,34.3,18.4,60.3,49.9,32,18.9,46.9,26.7,24.8,37.3,28.6,50.1,47.1,39.9,49.8
nov-08,39.2,35.2,19.4,15.1,40,30,20.5,68,29.8,25.7,41.7,43.8,60.3,48.9,30.4,35.1,41.5,44.2,32.2,20.3,61.4,53.4,34.1,22.5,50.7,25.7,26.7,39,31.3,51.6,48.3,41.3,50.4
ene-09,38.9,40.4,19.4,15.5,38.1,32.1,20.5,64.7,33.3,27,41.4,43.1,57.3,49.2,30.7,34.8,37.9,45.4,30.5,22.2,59,50.7,37,19.6,49.3,26.1,28.1,37.3,31,53.3,46.8,41.2,53.3
abr-09,40.4,39.9,20.6,15.4,41.3,33.6,24.3,66,34.9,28.1,42.7,45,59.7,51.6,31.2,36.1,41.9,43,31.2,24,62.7,55.3,40.3,24.2,49.1,27.5,25.9,37.5,32.5,53.7,47.5,41.6,53.8
